conversation_id,task,prompt_id,label
0,1,222,Code generation
0,1,232,Code generation
0,1,289,Code generation
0,1,292,Code generation
1,4,712,Code generation
1,4,713,Code generation
1,4,714,Code refinement
2,1,226,Code generation
2,1,255,Code generation
2,1,274,Code generation
2,1,278,Code generation
2,1,312,Code generation
3,3,566,Code generation
3,3,571,Code generation
3,3,579,Code generation
3,3,580,Code generation
3,3,584,Code generation
3,3,586,Code generation
3,3,591,Code generation
4,1,242,Basic prog. knowledge
4,1,283,Code generation
4,1,316,Basic prog. knowledge
5,2,500,Concept comprehension
5,2,515,Code generation
6,1,13,Code generation
6,1,19,Code generation
6,1,23,Code generation
6,1,26,Code generation
6,1,32,Code generation
6,1,38,Code generation
6,1,52,Code generation
6,1,53,Code generation
6,1,55,Code generation
6,1,56,Code generation
6,1,57,Irrelevant
7,1,71,Code generation
7,1,80,Code generation
7,1,88,Code refinement
7,1,97,Code generation
7,1,104,Code generation
7,1,112,Code generation
7,1,114,Code generation
7,1,124,Code refinement
7,1,133,Testing
7,1,167,Testing
7,1,184,Basic prog. knowledge
8,1,61,Irrelevant
8,1,78,Basic prog. knowledge
8,1,87,Basic prog. knowledge
8,1,150,Basic prog. knowledge
8,1,153,Basic prog. knowledge
8,1,157,Basic prog. knowledge
8,1,163,Basic prog. knowledge
8,1,170,Basic prog. knowledge
8,1,194,Basic prog. knowledge
9,1,73,Code generation
9,1,81,Code generation
9,1,99,Code generation
9,1,105,Code generation
9,1,123,Code refinement
9,1,141,Code generation
9,1,143,Irrelevant
10,2,356,Incomplete
10,2,366,Incomplete
10,2,373,Code generation
10,2,378,Code generation
10,2,380,Code refinement
10,2,385,Basic prog. knowledge
10,2,390,Code comprehension
10,2,395,Code comprehension
10,2,458,Code generation
11,4,645,Code generation
11,4,662,Code generation
11,4,668,Code generation
11,4,696,Bug identification
11,4,698,Bug identification
11,4,699,Irrelevant
12,1,200,Incomplete
12,1,202,Code generation
12,1,243,Code generation
12,1,256,Code generation
12,1,271,Code generation
12,1,303,Code generation
13,3,568,Code generation
14,4,716,Code generation
15,5,742,Code generation
15,5,743,Code generation
15,5,744,Code generation
15,5,748,Code generation
16,1,102,Code generation
16,1,122,Code generation
16,1,131,Code generation
16,1,142,Code generation
16,1,179,Code generation
16,1,193,Testing
17,2,371,Code generation
17,2,376,Code generation
17,2,399,Testing
18,1,63,Irrelevant
18,1,66,Code generation
18,1,72,Code generation
18,1,89,Code generation
18,1,95,Code generation
18,1,125,Code refinement
18,1,129,Irrelevant
18,1,145,Code refinement
18,1,158,Code generation
19,2,352,Incomplete
19,2,353,Code generation
19,2,354,Code generation
19,2,360,Code refinement
19,2,365,Code generation
19,2,367,Code refinement
19,2,383,Code refinement
19,2,403,Code generation
19,2,406,Code refinement
19,2,443,Irrelevant
19,2,450,Code generation
19,2,454,Code refinement
19,2,460,Code refinement
20,3,519,Concept comprehension
20,3,520,Code generation
20,3,521,Code refinement
20,3,526,Code generation
20,3,531,Testing
20,3,535,Code generation
20,3,539,Code generation
20,3,540,Bug identification
20,3,542,Bug identification
20,3,550,Code generation
20,3,552,Bug identification
20,3,554,Code generation
20,3,557,Code generation
20,3,560,Code generation
21,4,633,Code generation
21,4,634,Code generation
21,4,641,Code refinement
21,4,643,Code refinement
21,4,644,Code generation
21,4,649,Code generation
21,4,660,Code generation
21,4,661,Code refinement
21,4,664,Code generation
21,4,667,Code refinement
21,4,692,Code refinement
21,4,695,Irrelevant
21,4,703,Testing
22,1,62,Irrelevant
22,1,75,Basic prog. knowledge
22,1,111,Basic prog. knowledge
22,1,118,Basic prog. knowledge
22,1,175,Basic prog. knowledge
22,1,183,Code generation
22,1,188,Bug identification
23,2,351,Irrelevant
23,2,396,Code generation
23,2,405,Code refinement
24,4,640,Concept comprehension
24,4,656,Code generation
24,4,684,Code generation
24,4,688,Concept comprehension
25,5,739,Other
25,5,740,Other
26,1,49,Irrelevant
27,2,345,Basic prog. knowledge
28,1,11,Code generation
28,1,21,Code generation
28,1,35,Code generation
28,1,42,Code generation
28,1,44,Code generation
29,2,337,Basic prog. knowledge
30,3,474,Incomplete
30,3,476,Code generation
30,3,479,Code refinement
30,3,480,Code generation
30,3,491,Code generation
30,3,492,Incomplete
31,4,614,Code comprehension
31,4,619,Code comprehension
31,4,620,Incomplete
31,4,622,Code generation
31,4,626,Code refinement
31,4,627,Bug identification
31,4,629,Bug identification
31,4,631,Code comprehension
32,1,201,Irrelevant
32,1,215,Code generation
32,1,220,Code generation
32,1,238,Code generation
32,1,249,Code generation
32,1,265,Code generation
32,1,301,Code generation
33,1,210,Code generation
33,1,244,Code generation
34,3,564,Code generation
34,3,567,Code generation
34,3,569,Code generation
34,3,574,Code generation
34,3,577,Code refinement
34,3,583,Code refinement
34,3,589,Code generation
34,3,593,Code generation
34,3,596,Code generation
35,5,745,Code generation
35,5,746,Code generation
35,5,747,Code generation
35,5,749,Code generation
35,5,750,Code refinement
36,7,791,Code generation
36,7,796,Code generation
36,7,798,Code generation
36,7,802,Code generation
37,1,9,Code generation
37,1,27,Code comprehension
37,1,37,Code generation
37,1,39,Code comprehension
37,1,43,Code generation
38,1,86,Code generation
38,1,101,Code generation
38,1,121,Code generation
38,1,128,Code generation
38,1,135,Code comprehension
38,1,146,Code generation
38,1,162,Code generation
38,1,165,Code generation
38,1,176,Incomplete
38,1,192,Bug identification
39,2,358,Basic prog. knowledge
